"Key","Value"
"Abydos","a planet mentioned in The Leisure Hive.[1]"
"Adipose 3","the lost breeding planet of the Adipose.[2] In ""The Stolen Earth"", Davros is revealed to be responsible for its disappearance.[3] The planet is returned to its rightful place in ""Journey's End"".[4]"
"Agora","the homeworld of the Sixth Doctor's companion Grant Markham. In 2191, the Cybermen attempted to convert the planet into a Cybermen breeding ground to rebuild their race in the Virgin Missing Adventures book, Killing Ground.[5]"
"Akhaten","Planet in which the 11th doctor takes his companion Clara and saves the Queen of Years by defeating grandfather, a parasite who eats memories to survive, and the doctor gives a mind blowing speech about his life."
"Alfava Metraxis[6]","the seventh planet in the Dundra System in the Garn Belt, and was once home to the extinct Aplans. It was terraformed in the 49th century and colonised by humans sometime before the 51st century. It is home to more than one ""maze of the dead"", mass tombs "
"Algol","a planet mentioned in Destiny of the Daleks.[8]"
"Alpha Canis One","also called Canis Major, the home planet of the Canisians, a war-mongering race encountered in Death Comes to Time.[9]"
"Althrace","the name of both a star system and its primary planet, visited by the Fifth Doctor in the Doctor Who Monthly comic strip, ""The Tides of Time"". The planets of the system were bolted together around a white hole. The system was home to a race of Higher Evol"
"Alvega","the closest planet to Skaro, inhabited by the vegetable race the Amaryll. When the Daleks invaded the planet, they were defeated by the Amaryll Controller who controlled all Amaryll on the planet in the TV Century 21 comic The Amaryll Challenge.[11]"
"Amanopia","the homeworld of a race blue humanoids that trade body parts and of an enemy known as Sou Til. It is mentioned in a special Doctor Who scene on Tonight's the Night.[citation needed]"
"Anagonia","a planet mentioned in the Seventh Doctor story The Greatest Show in the Galaxy.[15]"
"Anathema","the homeworld of the Eighth Doctor's companion Compassion.[citation needed]"
"Androzani Major and Androzani Minor"," are a pair of planets that form the setting of the serial The Caves of Androzani. Androzani Minor features a network of caves, inhabited by spectrox-producing giant bats. When the planet moved closer to Androzani Major, mud burst from Androzani Minor's c"
"Aneth","home of the Anethans,forced to pay tribute to the planet Skonnos in the Fourth Doctor story The Horns of Nimon.[20]"
"Anima Persis","a geo-psychic world, inhabited by the psychic ghosts of its long-dead inhabitants; it was visited by the Doctor in Death Comes to Time. The planet is completely sterile and barren due to wars on the planet long ago.[9]"
"Anura","a planet almost entirely covered in water, home to an amphibian race.[21]"
"Apalapucia[22]","a paradise planet visited by the Eleventh Doctor, Amy Pond and Rory Williams in ""The Girl Who Waited"". According to the Doctor, the planet was voted Number 2 in the Top Ten Destinations for the Discerning Intergalactic Traveller, and boasts soaring spires"
"Aractus","a planet mentioned in Wooden Heart.[24]"
"Arcadia","a planet colonised by humans in the 25th century, and the setting of the Virgin New Adventures novel Deceit.[25] In the Torchwood episode ""Kiss Kiss, Bang Bang"", part of the plot revolves around Captain Jack Harkness's former partner Captain John Hart's s"
"Arcateen V","a planet mentioned in The Sarah Jane Adventures story ""Invasion of the Bane"".[33] It is the home planet of the Butterfly People,[34] which include a ""star poet"" associate of Sarah Jane Smith,[33] and a criminal called Mary in the Torchwood episode ""Greeks"
"Archetryx","the home planet of a time-active race, visited in the audio drama The Apocalypse Element,[36] and mentioned in other Doctor Who audio dramas.[vague][citation needed]"
"Arden","the home of the Shenn, the setting for the Virgin Missing Adventures book Shadowmind.[37]"
"Arfeliosogrefft","the land of the rebel Gallifreyans who refused to just stand by and observe the death of men.[citation needed]"
"Argolis","the setting of the serial The Leisure Hive. Argolis is the first of the Argolin leisure planets. Argolis became radioactive after the Argolins' 20-minute war with the Foamasi. The surviving Argolins then built a Leisure Hive, and abandoned their war-like "
"Aridius","a planet in a binary star system that was once completely covered by oceans; its orbit around its suns was altered, causing to become a desert. The only remaining species are the amphibious Aridians and the octopus-like Mire Beasts. It is the setting for "
"Arkannis Major","a planet visited by the Doctor, Rose and Jack in The Stealers of Dreams where fiction is banned. It is also known as Colony World 4378976.Delta Four, Oneiros, Journey's End and Discovery.[41]"
"Arkheon","a planet located near the Crab Nebula, just past the Pleiades, left at the Blue Star Worlds. Temporal echoes resembling ghosts roamed the surface due to a temporal fissure in the planet's core. The world was virtually destroyed by the Daleks, but the rema"
"Artaris","a planet visited in the Excelis Trilogy of audio plays, beginning with Excelis Dawns. Excelis was a major city-state on the planet. Bernice Summerfield and Iris Wildthyme also visited the planet.[43][44][45][46]"
"Asgard","a planet on which the Doctor and River Song went picnicking. It was mentioned in ""Silence in the Library"".[47]"
"Astra","a planet mentioned in The Rescue. The crew of Vicki's space ship were travelling from Earth to Astra when they crashed on Dido.[48]"
"The Asylum","the planet where the Eleventh Doctor, Amy and Rory are sent by the Daleks in the episode ""Asylum of the Daleks"". It was where the Daleks imprisoned insane members of their race. It was infected with nanogenes which transformed anyone, living or dead, into"
"Atrios","a planet at war with Zeos in The Armageddon Factor.[51][52]"
"Augea","a planet mentioned in Sting of the Zygons. The planet mirrors Greek mythology and the Twelve Labours of Hercules.[53]"
"Auros","a planet colonised by humans in the Earth Empire, with a temperate climate and a single small moon. It was destroyed in the novel Prisoner of the Daleks.[42]"
"Avalon","a planet with six moons. Once home to an advanced race, it was colonised by humans, setting up a nation named Elbyon. The Doctor visited Avalon circa 3025 in the novel The Sorcerer's Apprentice.[54]"
"Axista Four","the planet on which the Independent Earth Colony was founded by Stewart Ransom in 2439. The Second Doctor, Jamie McCrimmon, and Zoe Heriot visited this colony in 2539 in the Past Doctor Adventures book, The Colony of Lies.[55]"
"Azure","a blue planet seen from the ships in the Fourth Doctor story Nightmare of Eden.[56]"
"Bandraginus 5","a planet rich in the rare mineral Oolion until it was destroyed by Zanak in The Pirate Planet. It had over a thousand million inhabitants.[57]"
"Bandril","the planet of the Bandrils, the enemies of the Karfelons in the Sixth Doctor story Timelash.[58][59]"
"Barcelona","a planet where dogs have no noses, mentioned in ""The Parting of the Ways"" [60] and the 2005 Children in Need special.[61] In the Ninth Doctor's opinion, it is a ""fantastic place"".[60]"
"Baydafarn","a planet mentioned in the Ninth Doctor novel Only Human. There was an infinite recession on this planet, leading to the ban of the psychic credit card.[62]"
"Belannia II","another planet mentioned in the Eighth Doctor Adventures.[vague][citation needed]"
"Belannia IV","a planet the Eighth Doctor and Sam visited in Beltempest.[63]"
"Belepheron","a planet mentioned in the Tenth Doctor New Series Adventures novel The Last Dodo.[64]"
"Bellaphores","a planet mentioned in The Two Doctors.[65]"
"Bessan","a planet, mentioned as one of many which were conquered by the Krillitanes in ""School Reunion"".[66]"
"Beta Two","a planet mentioned in State of Decay which was discovered to be located in the Perugellis System.[67]"
"Betelgeuse","mentioned in Destiny of the Daleks.[8]"
"Betrushia","in the Virgin New Adventures novel St Anthony's Fire.[68]"
"Biblios","also known as the library planet. All the data in the known universe is stored here, even about the Doctor himself and about his adventures. The Fourth Doctor and K9 Mark II visited this planet in the comic strip ""War of the Words"".[69]"
